valor,origem,data_saida,hora_saida,tempo_total
2718,aeroporto_de_bruxelas,"domingo,_marco,_3",10:55,14 h 35 min
2730,aeroporto_de_oslo_gardermoen,"sabado,_marco,_2",18:45,28 h 40 min
2730,aeroporto_de_oslo_gardermoen,"domingo,_marco,_3",12:55,21 h 35 min
2730,aeroporto_de_oslo_gardermoen,"sexta_feira,_marco,_1",13:10,21 h 20 min
2768,aeroporto_internacional_de_belgrado,"sexta_feira,_marco,_1",20:20,25 h 30 min
2768,aeroporto_internacional_de_belgrado,"segunda_feira,_marco,_4",09:00,17 h 10 min
2768,aeroporto_internacional_de_belgrado,"sabado,_marco,_2",09:00,17 h 10 min
2768,aeroporto_internacional_de_belgrado,"domingo,_marco,_3",20:20,25 h 30 min
2793,aeroporto_de_milao_malpensa,"sabado,_marco,_2",11:55,15 h 35 min
2800,aeroporto_de_amesterdao_schiphol,"segunda_feira,_marco,_4",17:55,16 h 30 min
2800,aeroporto_de_amesterdao_schiphol,"sexta_feira,_marco,_1",17:55,16 h 30 min
2802,aeroporto_de_lyon_saint_exupery,"domingo,_marco,_3",09:50,24 h 10 min
2810,aeroporto_de_munique_franz_josef_strauss,"sabado,_marco,_2",21:00,36 h 30 min
2823,aeroporto_de_lyon_saint_exupery,"sabado,_marco,_2",05:30,17 h 40 min
2825,aeroporto_internacional_franjo_tuđman,"domingo,_marco,_3",20:00,25 h 50 min
2825,aeroporto_de_munique_franz_josef_strauss,"segunda_feira,_marco,_4",18:35,15 h 50 min
2827,aeroporto_de_sofia,"segunda_feira,_marco,_4",05:40,18 h 35 min
2829,aeroporto_de_arlanda,"sexta_feira,_marco,_1",05:50,17 h 25 min
2833,aeroporto_de_amesterdao_schiphol,"sabado,_marco,_2",07:00,16 h 10 min
2833,aeroporto_de_amesterdao_schiphol,"domingo,_marco,_3",07:00,16 h 25 min
2851,aeroporto_de_sofia,"sexta_feira,_marco,_1",05:40,19 h 20 min
2863,aeroporto_de_frankfurt,"segunda_feira,_marco,_4",11:45,22 h 40 min
2872,aeroporto_de_dublin,"segunda_feira,_marco,_4",04:30,18 h 10 min
2872,aeroporto_de_dublin,"sabado,_marco,_2",04:30,17 h 40 min
2872,aeroporto_de_dublin,"sexta_feira,_marco,_1",16:50,16 h 40 min
2872,aeroporto_de_dublin,"domingo,_marco,_3",04:30,17 h 55 min
2890,aeroporto_de_frankfurt,"sabado,_marco,_2",06:00,17 h 10 min
2890,aeroporto_de_frankfurt,"domingo,_marco,_3",06:00,17 h 25 min
2890,aeroporto_de_frankfurt,"sexta_feira,_marco,_1",06:00,17 h 25 min
2895,aeroporto_de_sofia,"sabado,_marco,_2",18:25,30 h 25 min
2905,aeroporto_de_sofia,"domingo,_marco,_3",05:40,19 h 10 min
2907,aeroporto_de_arlanda,"sabado,_marco,_2",16:35,31 h 15 min
2909,aeroporto_de_hanover,"sabado,_marco,_2",15:15,42 h 15 min
2909,aeroporto_de_praga,"sexta_feira,_marco,_1",07:05,16 h 10 min
2938,aeroporto_de_paris_charles_de_gaulle,"segunda_feira,_marco,_4",20:35,14 h 5 min
2943,aeroporto_de_londres_gatwick,"segunda_feira,_marco,_4",11:00,14 h 30 min
2946,aeroporto_de_praga,"sabado,_marco,_2",12:30,15 h
2946,aeroporto_de_praga,"domingo,_marco,_3",19:15,15 h 15 min
2946,aeroporto_de_arlanda,"segunda_feira,_marco,_4",14:20,20 h 10 min
2946,aeroporto_de_praga,"segunda_feira,_marco,_4",12:30,15 h
2971,aeroporto_de_oslo_gardermoen,"segunda_feira,_marco,_4",18:45,15 h 45 min
2979,aeroporto_de_londres_gatwick,"domingo,_marco,_3",10:40,15 h 50 min
2979,aeroporto_internacional_de_sarajevo,"segunda_feira,_marco,_4",15:30,30 h 20 min
2979,aeroporto_internacional_de_sarajevo,"domingo,_marco,_3",20:15,25 h 35 min
2979,aeroporto_internacional_de_sarajevo,"sexta_feira,_marco,_1",20:15,25 h 35 min
3006,heathrow_airport,"domingo,_marco,_3",12:25,14 h 5 min
3012,aeroporto_frederic_chopin_de_varsovia,"sabado,_marco,_2",13:05,21 h 25 min
3012,aeroporto_frederic_chopin_de_varsovia,"domingo,_marco,_3",13:00,21 h 30 min
3012,aeroporto_frederic_chopin_de_varsovia,"sexta_feira,_marco,_1",13:05,21 h 25 min
3032,aeroporto_de_milao_linate,"sabado,_marco,_2",17:45,16 h 5 min
3045,aeroporto_de_londres_gatwick,"sabado,_marco,_2",10:10,16 h 20 min
3058,aeroporto_de_munique_franz_josef_strauss,"sexta_feira,_marco,_1",19:05,15 h 40 min
3058,aeroporto_de_munique_franz_josef_strauss,"domingo,_marco,_3",19:05,15 h 40 min
3109,aeroporto_internacional_franjo_tuđman,"segunda_feira,_marco,_4",15:45,23 h 15 min
3112,aeroporto_de_budapeste_ferenc_liszt,"sexta_feira,_marco,_1",18:20,21 h 10 min
3119,aeroporto_de_berlim_brandemburgo,"sexta_feira,_marco,_1",06:00,17 h 25 min
3119,aeroporto_de_berlim_brandemburgo,"sabado,_marco,_2",06:00,17 h 10 min
3119,aeroporto_de_berlim_brandemburgo,"domingo,_marco,_3",06:00,17 h 25 min
3119,aeroporto_de_berlim_brandemburgo,"segunda_feira,_marco,_4",06:00,17 h 40 min
3125,aeroporto_de_hamburgo,"domingo,_marco,_3",06:00,17 h 25 min
3125,aeroporto_de_hamburgo,"sabado,_marco,_2",06:00,17 h 10 min
3125,aeroporto_de_hamburgo,"sexta_feira,_marco,_1",06:00,17 h 25 min
3125,aeroporto_de_hamburgo,"segunda_feira,_marco,_4",06:00,17 h 40 min
3133,aeroporto_de_budapeste_ferenc_liszt,"sabado,_marco,_2",06:20,21 h 10 min
3180,aeroporto_internacional_de_atenas,"sabado,_marco,_2",09:25,19 h 5 min
3283,heathrow_airport,"sabado,_marco,_2",12:25,14 h 5 min
3294,aeroporto_internacional_franjo_tuđman,"sabado,_marco,_2",08:25,15 h 35 min
3294,aeroporto_internacional_franjo_tuđman,"sexta_feira,_marco,_1",08:25,15 h 35 min
3359,aeroporto_frederic_chopin_de_varsovia,"segunda_feira,_marco,_4",06:35,15 h 40 min
3364,aeroporto_de_helsinquia_vantaa,"sabado,_marco,_2",12:30,23 h
3364,aeroporto_de_helsinquia_vantaa,"segunda_feira,_marco,_4",12:30,23 h
3364,aeroporto_de_helsinquia_vantaa,"sexta_feira,_marco,_1",12:30,23 h
3382,aeroporto_de_stuttgart,"segunda_feira,_marco,_4",09:30,18 h
3382,aeroporto_de_stuttgart,"domingo,_marco,_3",09:35,17 h 55 min
3382,aeroporto_de_stuttgart,"sabado,_marco,_2",09:35,17 h 55 min
3413,aeroporto_de_budapeste_ferenc_liszt,"segunda_feira,_marco,_4",06:20,15 h 55 min
3413,aeroporto_de_budapeste_ferenc_liszt,"domingo,_marco,_3",06:20,15 h 55 min
3420,aeroporto_de_stuttgart,"sexta_feira,_marco,_1",14:20,20 h 10 min
3516,aeroporto_de_helsinquia_vantaa,"domingo,_marco,_3",17:35,17 h 55 min
3578,aeroporto_de_paris_charles_de_gaulle,"domingo,_marco,_3",12:00,
3578,aeroporto_de_paris_charles_de_gaulle,"sexta_feira,_marco,_1",12:00,
3578,aeroporto_de_paris_charles_de_gaulle,"sabado,_marco,_2",12:00,
3672,aeroporto_internacional_de_sarajevo,"sabado,_marco,_2",10:10,23 h 40 min
4108,aeroporto_de_hanover,"sexta_feira,_marco,_1",18:55,14 h 5 min
4709,aeroporto_moscovo_sheremetievo,"segunda_feira,_marco,_4",16:55,30 h 15 min
4728,aeroporto_moscovo_sheremetievo,"domingo,_marco,_3",22:55,42 h 5 min
5366,aeroporto_moscovo_sheremetievo,"sabado,_marco,_2",16:55,30 h 15 min
6127,aeroporto_moscovo_sheremetievo,"sexta_feira,_marco,_1",16:55,30 h 15 min
6253,aeroporto_de_hanover,"segunda_feira,_marco,_4",06:15,28 h 14 min
6891,aeroporto_de_hanover,"domingo,_marco,_3",06:35,27 h 54 min
6966,aeroporto_de_dortmund,"domingo,_marco,_3",12:20,21 h 30 min
6966,aeroporto_de_dortmund,"segunda_feira,_marco,_4",07:35,26 h 15 min
6966,aeroporto_de_dortmund,"sexta_feira,_marco,_1",14:55,18 h 55 min
7349,aeroporto_de_pulkovo,"domingo,_marco,_3",02:10,21 h 40 min
7349,aeroporto_de_pulkovo,"segunda_feira,_marco,_4",02:10,21 h 40 min
7376,aeroporto_de_pulkovo,"sabado,_marco,_2",02:10,21 h 40 min
7376,aeroporto_de_pulkovo,"sexta_feira,_marco,_1",02:10,21 h 40 min
